"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq"
"2791","Qatar",2021,"Middle East and north Africa",21814411.9279586,21814411.9279586,21814411.9279586,21814411.9279586,51.7614548371722,2.5e+11,1696453650742.49
"2792","Qatar",2022,"Middle East and north Africa",22064259.5779533,22067185.2696892,22066152.7133756,22068573.931323,51.7614548371722,2.62245e+11,1741034605298.3
"2793","Qatar",2023,"Middle East and north Africa",22220066.5108074,22224584.6008286,22223022.9437881,22226655.4460092,51.7614548371722,268614931050,1789724702271.13
"2794","Qatar",2024,"Middle East and north Africa",22367644.8797429,22373054.4036462,22371211.3442705,22375469.799155,51.7614548371722,274438502755.164,1839277463378.92
"2795","Qatar",2025,"Middle East and north Africa",22502844.7341059,22508275.6528207,22506466.6372465,22510629.4312791,51.7614548371722,284653103827.711,1889366951869.4
"2796","Qatar",2026,"Middle East and north Africa",22604473.0283125,22610692.031592,22608601.8636556,22613400.9471977,51.7614548371722,294872150255.126,1942239192056.32
"2797","Qatar",2027,"Middle East and north Africa",22700116.7029493,22706521.0040803,22704372.5337738,22709302.2667729,51.7614548371722,313398967455.656,1997757347335.21
"2798","Qatar",2028,"Middle East and north Africa",22786274.7419333,22792804.707254,22790614.7423156,22795640.5831145,51.7614548371722,322102056781.9,2060089344968.17
"2799","Qatar",2029,"Middle East and north Africa",22865749.9285717,22872375.4903419,22870152.7113007,22875256.7728129,51.7614548371722,325008535207.438,2123809588370.53
"2800","Qatar",2030,"Middle East and north Africa",22934201.6496263,22940906.9887654,22938656.1636426,22943828.0303883,51.7614548371722,327941240155.471,2185848255120.35
"2801","Qatar",2031,"Middle East and north Africa",22984875.3512354,22991393.2287916,22989372.7545752,22993893.3839103,51.7614548371722,330900408280.254,2246302999279.87
"2802","Qatar",2032,"Middle East and north Africa",23024694.5296879,23031519.2469212,23029225.8576391,23034501.8021667,51.7614548371722,333886278371.482,2305266714703.88
"2803","Qatar",2033,"Middle East and north Africa",23058790.4894826,23065665.5344342,23063354.1862692,23068674.4549056,51.7614548371722,336899091373.564,2362827774155.46
"2804","Qatar",2034,"Middle East and north Africa",23093282.1332725,23100199.7011465,23097873.1510151,23103231.3238092,51.7614548371722,339939090405.062,2419070256475.85
"2805","Qatar",2035,"Middle East and north Africa",23130559.476697,23137503.2193131,23135167.0626755,23140550.2700815,51.7614548371722,343006520778.312,2474074162405.97
"2806","Qatar",2036,"Middle East and north Africa",23152537.559791,23159486.1621,23157147.6713,23162539.1791078,51.7614548371722,346101630019.219,2527915619626.89
"2807","Qatar",2037,"Middle East and north Africa",23177039.0743742,23183974.2068021,23181639.6485668,23187024.7832122,51.7614548371722,349224667887.23,2580667077558.66
"2808","Qatar",2038,"Middle East and north Africa",23199766.3547319,23206679.4017997,23204351.6270179,23209723.4490463,51.7614548371722,352375886395.49,2632397492429.44
"2809","Qatar",2039,"Middle East and north Africa",23224591.121246,23231472.3412758,23229154.518869,23234505.1435347,51.7614548371722,355555539831.176,2683172503101.66
"2810","Qatar",2040,"Middle East and north Africa",23247043.2392191,23253867.9902436,23251568.261525,23256877.8924025,51.7614548371722,358763884776.019,2733054598117.35
"2811","Qatar",2041,"Middle East and north Africa",23271471.9831071,23278210.1547672,23275938.5861873,23281182.9556833,51.7614548371722,362001180127.006,2782103274401.91
"2812","Qatar",2042,"Middle East and north Africa",23293840.6507681,23300469.3823537,23298233.7779231,23303394.2058267,51.7614548371722,365267687117.276,2830375188043.28
"2813","Qatar",2043,"Middle East and north Africa",23307299.3415081,23313802.4110498,23311608.3759728,23316671.6447614,51.7614548371722,368563669337.195,2877924297543.11
"2814","Qatar",2044,"Middle East and north Africa",23320254.7160198,23326616.2156035,23324469.5437639,23329422.5245629,51.7614548371722,371889392755.63,2924801999916.15
"2815","Qatar",2045,"Middle East and north Africa",23342580.2275356,23348775.5499561,23346685.0585154,23351507.7252443,51.7614548371722,375245125741.41,2971057259995.78
"2816","Qatar",2046,"Middle East and north Africa",23374827.5342618,23380834.3736773,23378807.9391622,23383482.4101512,51.7614548371722,378631139084.982,3016736733285.32
"2817","Qatar",2047,"Middle East and north Africa",23410751.5433488,23416563.3245593,23414603.5827509,23419124.3724531,51.7614548371722,382047706020.264,3061884882678
"2818","Qatar",2048,"Middle East and north Africa",23441454.3830876,23447065.200494,23445174.3118074,23449536.562841,51.7614548371722,385495102246.69,3106544089352.23
"2819","Qatar",2049,"Middle East and north Africa",23464935.8830972,23470345.6852522,23468523.5865493,23472727.0507793,51.7614548371722,388973605951.462,3150754758133.55
"2820","Qatar",2050,"Middle East and north Africa",23491986.8374705,23497197.0709436,23495443.5497405,23499488.6290903,51.7614548371722,392483497831.994,3194555417599.96
"2821","Republic of Korea",2021,"East Asia and Pacific",372322632.569876,372322632.569876,372322632.569876,372322632.569876,35.4999241334189,2.29e+12,11125158520616.3
"2822","Republic of Korea",2022,"East Asia and Pacific",371133293.472978,371211561.752255,371190683.933629,371238763.49075,35.4999241334189,2349837700000,11381848857240.8
"2823","Republic of Korea",2023,"East Asia and Pacific",369899998.375953,370023708.60564,369991515.462731,370065346.812977,35.4999241334189,2383792854765,11646947015137.2
"2824","Republic of Korea",2024,"East Asia and Pacific",368077993.122002,368226375.071733,368188554.718859,368274974.929441,35.4999241334189,2436641542355.14,11910844319319.8
"2825","Republic of Korea",2025,"East Asia and Pacific",366057481.172506,366217625.235764,366177435.721896,366269002.982494,35.4999241334189,2491758374043.21,12180308002293.3
