"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq","capital_share","tech_level","tc_share","he_pc","pop","tc","gdp_cf","gdp_cf_lower","gdp_cf_upper","cs_cf","cs_cf_lower","cs_cf_upper"
"2193","Mauritania",2023,"Sub-Saharan Africa",8766157.61090148,8767105.34711083,8766691.71636163,8767682.85805267,30.279267342682,26412059821.8756,105445903911.876,0.40409,11.1570360283274,0.738467691664159,239.776453209218,4798604,8496752.01039957,26413961606.5898,26413444135.4399,26414684199.2308,105450914665.098,105450821646.511,105451045359.008
"2194","Mauritania",2024,"Sub-Saharan Africa",9113270.32555246,9114476.19426931,9113954.15428318,9115200.76597272,30.279267342682,27822727936.962,108170986920.457,0.40409,11.3953581160389,0.753237045497442,239.486574985749,4927373,8888496.04729547,27825427803.8615,27824746223.1971,27826374212.0316,108178895736.752,108178650682.622,108179238691.725
"2195","Mauritania",2025,"Sub-Saharan Africa",9478078.06890906,9479477.77949826,9478875.24032771,9480310.33500262,30.279267342682,29760580937.7714,111186955748.494,0.40409,11.8022432771605,0.768301786407394,239.197047211139,5060470,9299904.98992779,29764114985.8327,29763280431.1991,29765268969.2054,111197977995.372,111197538816.316,111198590368.056
"2196","Mauritania",2026,"Sub-Saharan Africa",9858068.9026811,9859624.14772104,9858956.92428797,9860543.38548166,30.279267342682,30908148938.7319,114638893825.953,0.40409,11.8463653836323,0.783667822135542,238.907869461713,5195813,9727830.22107302,30912426046.9741,30911473077.0877,30913740233.9369,114653250987.441,114652581070.31,114654182159.201
"2197","Mauritania",2027,"Sub-Saharan Africa",10253370.6265748,10255058.2044897,10254335.298385,10256052.3085032,30.279267342682,32378449583.7474,118265710182.488,0.40409,11.9896809987827,0.799341178578251,238.619041314306,5333239,10172514.7752832,32383520059.1428,32382446680.2159,32384997788.9647,118283590078.66,118282665105.086,118284872618.017
"2198","Mauritania",2028,"Sub-Saharan Africa",10663807.7723757,10665613.576119,10664840.3508783,10666675.657434,30.279267342682,33716974689.5395,122156381984.242,0.40409,12.0541143142691,0.815328002149814,238.330562346266,5473161,10635314.0730648,33722834880.7057,33721648953.521,33724465832.2943,122177983351.351,122176779615.18,122179649209.502
"2199","Mauritania",2029,"Sub-Saharan Africa",11078331.9619817,11080246.8302157,11079426.8447809,11081372.3590271,30.279267342682,35013184423.696,126257815791.14,0.40409,12.0859041165617,0.831634562192811,238.042432135453,5614832,11115363.6416352,35019846600.6579,35018551022.1822,35021627174.3832,126283331808.024,126281829168.6,126285408213.46
"2200","Mauritania",2030,"Sub-Saharan Africa",11505507.5540256,11507527.5842255,11506662.5197007,11508714.5105861,30.279267342682,36359225428.0181,130546660718.42,0.40409,12.1165011227076,0.848267253436669,237.754650260235,5758059,11612823.6892917,36366721520.8952,36365314767.5888,36368654090.6942,130576283843.506,130574464044.383,130578795573.349
"2201","Mauritania",2031,"Sub-Saharan Africa",11948419.5466367,11950545.2909543,11949634.9990631,11951793.9817356,30.279267342682,37757013407.5194,135028634753.577,0.40409,12.1449341599765,0.8652325985054,237.467216299492,5903066,12128697.7582877,37765381212.5625,37763859734.0961,37767470829.4243,135062562762.342,135060407998.581,135065534073.669
"2202","Mauritania",2032,"Sub-Saharan Africa",12406062.5178923,12408295.7998359,12407339.6505438,12409607.1532268,30.279267342682,39208537714.2565,139709750046.173,0.40409,12.1720028214647,0.88253725047551,237.180129832612,6049531,12662896.4166135,39217818050.4408,39216177497.5296,39220070705.9523,139748187845.38,139745680127.273,139751643311.816
