"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq","capital_share","tech_level","tc_share","he_pc","pop","tc"
"522","Burundi",2032,"Sub-Saharan Africa",44564583.6161376,44574229.334726,44570152.4907023,44580649.351925,5.73199403779271,12920107957.7295,15058330587.1807,0.60622,29.2745720285331,0.653116741705262,109.622322680542,16382219,11729042.0542578
"523","Burundi",2033,"Sub-Saharan Africa",46018798.3216886,46028823.1870761,46024589.612903,46035499.4018149,5.73199403779271,13026826932.3278,15045993875.6351,0.60622,28.9567107030875,0.666179076539367,114.111176068621,16777851,12754266.9538949
"524","Burundi",2034,"Sub-Saharan Africa",47506869.3954335,47517283.6602851,47512889.6042535,47524202.355189,5.73199403779271,13134427396.4289,15040391124.9279,0.60622,28.6422262945965,0.679502658070155,118.783840602524,17181668,13868000.4144917
"525","Burundi",2035,"Sub-Saharan Africa",49112272.0178757,49123040.7855489,49118520.0908842,49129926.927295,5.73199403779271,13242916631.0598,15041236163.943,0.60622,28.3021689427039,0.693092711231556,123.647843045636,17591217,15075570.7243494
"526","Burundi",2036,"Sub-Saharan Africa",50728460.3827506,50739672.2136031,50734951.0258092,50747124.7927249,5.73199403779271,13352301977.3883,15048257547.4681,0.60622,27.9761501048504,0.70695456545619,128.711018369896,18008263,16386230.3095399
"527","Burundi",2037,"Sub-Saharan Africa",52329645.755368,52341279.7193891,52336385.736728,52349016.5143643,5.73199403779271,13462590837.2195,15061197823.3467,0.60622,27.6714450625655,0.721093656765311,133.981522376426,18426385,17802324.9669859
"528","Burundi",2038,"Sub-Saharan Africa",53952699.4041078,53964762.9354013,53959693.3253961,53972788.4863961,5.73199403779271,13573790673.4968,15079812836.3012,0.60622,27.3748255780477,0.735515529900619,139.467844832959,18851680,19338197.7094888
"529","Burundi",2039,"Sub-Saharan Africa",55586797.4697604,55599311.6035326,55594057.5714445,55607641.1300704,5.73199403779271,13685909010.8069,15103871066.5934,0.60622,27.0891609523018,0.750225840498632,145.178823149219,19280437,20999655.1775561
"530","Burundi",2040,"Sub-Saharan Africa",57287001.9639578,57299960.1774492,57294523.942287,57308586.673732,5.73199403779271,13798953435.8889,15133153001.7809,0.60622,26.7981476275813,0.765230357308602,151.123656612289,19711773,22795563.5365588
"531","Burundi",2041,"Sub-Saharan Africa",58970804.8683255,58984239.4630714,58978608.2533849,58993185.3302214,5.73199403779271,13912931598.1477,15167450539.9148,0.60622,26.5254826907745,0.780534964454775,157.311921204894,20144529,24734954.4457803
"532","Burundi",2042,"Sub-Saharan Africa",60608414.5933545,60622329.0872839,60616501.2365826,60631597.0857746,5.73199403779271,14027851210.1717,15206566422.6071,0.60622,26.2774858098894,0.796145663743871,163.753585030462,20578658,26828747.6391381
"533","Burundi",2043,"Sub-Saharan Africa",62226030.5078714,62240427.5254931,62234402.0029456,62250018.0707896,5.73199403779271,14143720048.2545,15250313696.4742,0.60622,26.0453603064414,0.812068577018749,170.459024369822,21011095,29084485.8347073
"534","Burundi",2044,"Sub-Saharan Africa",63813961.6246081,63828851.2558061,63822623.9605537,63838770.4106277,5.73199403779271,14260545952.9214,15298515201.5385,0.60622,25.8302707379926,0.828309948559124,177.4390403954,21443515,31516503.7618031
"535","Burundi",2045,"Sub-Saharan Africa",65440148.1248451,65455528.2777036,65449101.4520148,65465770.5781203,5.73199403779271,14378336829.4595,15351003085.2398,0.60622,25.6147784983646,0.844876147530304,184.704876569823,21875372,34137118.3857287
"536","Burundi",2046,"Sub-Saharan Africa",66997081.2627485,67012986.4881356,67006345.281912,67023576.970454,5.73199403779271,14497100648.4531,15407618340.7761,0.60622,25.4239523983514,0.861773670480912,192.268236756977,22306062,36959294.2469535
"537","Burundi",2047,"Sub-Saharan Africa",68505299.1137039,68521722.3422117,68514870.5037747,68532653.1023962,5.73199403779271,14616845446.3227,15468210368.5595,0.60622,25.2512708191572,0.879009143890532,200.141304074678,22736126,39998765.2917551
"538","Burundi",2048,"Sub-Saharan Africa",69996627.8715334,70013578.7710425,70006513.3390565,70024857.6173505,5.73199403779271,14737579325.869,15532636559.6281,0.60622,25.0885162701762,0.89658932676834,208.336760519334,23163147,43267025.0325212
"539","Burundi",2049,"Sub-Saharan Africa",71452866.7464898,71470358.4539419,71463074.9167138,71481995.7224825,5.73199403779271,14859310456.8211,15600761899.9205,0.60622,24.9389349894265,0.914521113303709,216.867807394194,23584920,46776016.3308084
"540","Burundi",2050,"Sub-Saharan Africa",72930608.8103835,72948656.8653011,72941149.23031,72960662.6251002,5.73199403779271,14982047076.3894,15672458594.3665,0.60622,24.7900187521307,0.932811535569782,225.748186574116,24002726,50545063.4416433
