Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2024/6/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Caribbean small states,CSS,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.9012171,431.2844192,475.5703509,504.4333728,545.0340244,568.252229,631.2242017,662.9639055,689.3288629,705.6011862,714.4843601,743.5807698,762.4093382,793.2433596,806.8680718,825.6836081,841.6180342,929.2568376,996.8690257,1085.783176,1098.522385,1144.869679,,
Cuba,CUB,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.9310466,640.6062312,713.1875357,758.9952936,750.0191913,1070.929469,1291.471543,1839.72361,1968.037203,2181.369684,2029.871844,2158.661463,1879.450753,2221.229434,2700.486267,3176.121847,2492.109398,2466.84572,2484.068216,2552.083076,2594.518249,3033.187232,,
Curacao,CUW,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1136,1228,1331,1377,1412,1520,1655,1783,2123,2221,2206,2177,2091,2100,2078,2170,2396,2558,2795,3133,3498,4206,,
Czechia,CZE,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923.6418115,1031.719636,1127.055925,1274.911958,1329.571355,1402.737212,1476.6056,1580.223095,1777.905184,2015.990417,2117.718486,2193.885607,2231.655852,2317.521246,2477.290248,2499.876681,2690.8508,2869.785138,3079.398921,3368.604968,3947.017118,4249.36158,,
Germany,DEU,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2691.500394,2817.890495,2973.189141,3111.092393,3178.56554,3277.211977,3474.402418,3645.628694,3870.153021,4132.503657,4320.760793,4588.341879,4711.7534,4956.393219,5197.239076,5359.852392,5698.08169,6026.141316,6345.448673,6730.347103,7167.872249,7606.962804,8166.128971,
Djibouti,DJI,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.12319954,75.12326478,89.70249391,105.1156521,90.49976744,101.9755677,119.9395854,121.6168866,114.5629056,115.6339163,110.2175025,119.0380648,118.818493,108.9319704,115.6377069,138.7561059,116.8804703,109.8932573,109.9423018,107.6562224,107.8302982,150.3390785,,
Dominica,DMA,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.9827433,315.8964441,311.764676,351.094254,362.894034,394.5947694,408.8121669,447.2480456,514.4104782,505.1282145,532.4992827,561.3429896,593.6259006,559.734746,588.4036755,584.419687,623.0192405,628.7314406,750.4484256,667.7049841,648.761847,753.3220553,,
Denmark,DNK,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2327,2492,2670,2748,2971,3109,3429,3647,3939,4314,4572,4629,4724,4837,4952,5095,5348,5606,5817,6091,6434,7043,7158,
Dominican Republic,DOM,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.2422377,331.4138554,354.0993177,309.15138,313.769037,354.8112574,361.5641948,410.6901521,475.7648155,498.1945488,557.2219962,592.498645,594.8647796,607.0464749,639.1212996,687.781197,728.194955,742.508433,738.6319548,802.8725062,873.7225013,1006.378446,,
