"","location","region","gdp_dif","gdp_dif_lower","gdp_dif_upper","gdp_dif002","gdp_dif002_lower","gdp_dif002_upper","gdp_dif003","gdp_dif003_lower","gdp_dif003_upper","gdp_dif005","gdp_dif005_lower","gdp_dif005_upper","gdp_dif_prop","gdp_dif_prop_lower","gdp_dif_prop_upper","gdp_dif_prop002","gdp_dif_prop002_lower","gdp_dif_prop002_upper","gdp_dif_prop003","gdp_dif_prop003_lower","gdp_dif_prop003_upper","gdp_dif_prop005","gdp_dif_prop005_lower","gdp_dif_prop005_upper","gdp_dif_perc","gdp_dif_perc_lower","gdp_dif_perc_upper","gdp_dif_perc002","gdp_dif_perc002_lower","gdp_dif_perc002_upper","gdp_dif_perc003","gdp_dif_perc003_lower","gdp_dif_perc003_upper","gdp_dif_perc005","gdp_dif_perc005_lower","gdp_dif_perc005_upper","inc","dea","pop","gdp_pc","le","gdp_sq","gdp_sq002","gdp_sq003","gdp_sq005","pop_m","ni"
"121","Mozambique","Sub-Saharan Africa",2449147086.92119,2258308383.2909,2710533048.70663,1566524767.30548,1438178336.96488,1742368806.32572,1264703352.18412,1158295447.25136,1410513155.42463,840215098.248031,765481005.197626,942657149.502391,0.000990345242535988,0.000913177071117758,0.00109604013734335,0.000897336540770608,0.000823817152998534,0.000998063503396909,0.00085137160200123,0.000779740046402246,0.000949527683866573,0.000762199151293849,0.000694404294459559,0.000855129217280148,52.9273904432875,48.8032630551572,58.5760821571051,33.8534457326063,31.0798100996486,37.6535303253404,27.3309220476955,25.0313897898317,30.481950594646,18.1575017681858,16.542457680623,20.3713297875421,0.0010866825653231,0.000169171302259912,30720752,1256.38127715754,61.172,2473023529299.37,1745749444194.25,1485489237850.21,1102356381297.13,46540178.9,0
"122","Myanmar",NA,19329472836.8004,18352786438.5908,20306159235.01,12281729748.925,11640151838.1762,12923307659.6738,9893170102.77779,9367180022.32039,10419160183.2352,6561060271.60815,6199167527.67691,6922953015.53939,0.00132227546208727,0.0012554630627316,0.00138908786144294,0.00122217068144589,0.00115832644057671,0.00128601492231507,0.00117195318538813,0.00110964396156295,0.00123426240921332,0.00107313926134041,0.00101394740883032,0.0011323311138505,334.979297916413,318.053346199103,351.905249633724,212.842080238285,201.723550523799,223.960609952772,171.44839919725,162.333003793027,180.563794601473,113.703016213989,107.431423692731,119.974608735246,0.0044239578702412,0.000443989711063261,53227971,4734.35292132402,66.797,14618340422265.7,10049111744682.9,8441608612123.3,6113894540968.55,57703484.8333333,1
"123","Namibia","Sub-Saharan Africa",421747381.408913,362611984.102013,507629384.840912,286815745.066025,245247091.161882,347228104.996234,239121526.209083,203862467.848762,290381681.005126,169810669.384636,143869843.572031,207548918.150492,0.000512739061625601,0.000440845246843148,0.000617150042680525,0.000468931365096963,0.000400968409939024,0.000567702966371086,0.000447731298259683,0.000381712214886667,0.000543710844809403,0.00040741613799354,0.000345177934073646,0.000497959162307274,134.842830444171,115.935814766529,162.301382500381,91.7019253361021,78.4114220697542,111.017216825495,76.4529309143481,65.1797578309279,92.8420412358253,54.2925749128547,45.9986659739409,66.3584050849226,0.0017961968160997,0.000354622664905859,2467077,9122.476227941,62.829,822538037324.081,611636939676.063,534073733818.789,416799074825.378,3129092.36666667,0
"124","Nauru",NA,11985961.7681486,11526390.0457906,12445533.4905065,7808929.55697331,7499117.83779238,8118741.27615423,6371405.79252664,6114033.77398396,6628777.81106932,4335452.44768182,4153648.16577841,4517256.72958523,0.00174251553208409,0.00167570313272842,0.00180932793143976,0.001609219886465,0.00154537564559582,0.00167306412733418,0.00154250392818747,0.00148019470436229,0.00160481315201266,0.00141153695150049,0.0013523450989904,0.00147072880401057,875.04101215896,841.48975337217,908.59227094575,570.094728782656,547.476772412129,592.712685153183,465.147601954112,446.358031624808,483.937172283416,316.511830370417,303.239119683624,329.78454105721,0.0060663657920612,0.000710852056420929,12216,10900.5182956778,63.437,6878539414.68923,4852618105.61346,4130560497.1868,3071440987.12624,13697.6,1
"125","Nepal","South Asia",7105704461.45,6436395924.28107,8020652144.76714,4646111042.25782,4206754709.83501,5247186276.41839,3794790212.67668,3434887657.7262,4287371836.93338,2583118444.9888,2336184150.77561,2921380897.44119,0.000864240748197346,0.000782835207891536,0.000975522476093763,0.000820377499130562,0.000742799058593539,0.000926511122047661,0.000796991249010722,0.000721403622102143,0.000900444463010441,0.000748140416714279,0.000676621618909208,0.000846110299832674,206.268460871965,186.83938912274,232.828086513599,134.869973684664,122.116086303777,152.318330014595,110.157344813225,99.7098872140138,124.45628646503,74.9842424193783,67.8160922267842,84.8035187228981,0.0027662568742536,0.000208866549972954,28999227,3793.20455679732,69.246,8221903996393.65,5663381854307.05,4761395081046.4,3452718750757.34,34155837.6666667,0
"126","Netherlands","Europe and central Asia",48657021230.4998,47918800724.1603,49436294339.2598,32373841573.1589,31851431444.6019,32926063851.2905,26683596395.8168,26238793941.6727,27154129575.9206,18507920400.3254,18177915201.9067,18857558420.937,0.00116130628304559,0.00114368703528638,0.00117990534099294,0.0010696631193487,0.00105240218210624,0.00108790907892273,0.0010237041377536,0.00100663949226745,0.00104175593093311,0.000933445916410575,0.000916802122932148,0.000951079890163566,2704.04891541048,2663.02329754447,2747.35597678131,1799.13297155762,1770.10072696475,1829.82198651341,1482.90520193479,1458.18590010982,1509.05445446089,1028.55293685,1010.21333906335,1047.98360248698,0.0026129443004729,0.000184479756452042,17402277,54418.166082519,81.35853659,41898525772971.8,30265455532271.6,26065730724084.8,19827523025109.8,17929355.3666667,0
"127","New Zealand","East Asia and Pacific",12606240035.72,12398875912.884,12812555026.7369,8315463979.22905,8175252051.87335,8455405286.80193,6822700743.75803,6706062792.09468,6939303644.34836,4687453442.5184,4604860899.92164,4770296062.29861,0.00122090576465154,0.00120082269053626,0.00124088723106443,0.00112859460258633,0.00110956470541798,0.00114758777059236,0.00108171474817304,0.00106322221900468,0.0011002017201194,0.000988526098557161,0.00097110835032685,0.00100599658498008,2232.12607389496,2195.40910959307,2268.65727348971,1472.3790687769,1447.55241959087,1497.15780062425,1208.06268811104,1187.41016901131,1228.70900088645,829.984755134518,815.360492283967,844.653297944842,0.0028492844533502,0.000122203530024185,5026496,42574.3897936057,82.25609756,10325317809698.4,7367981346156.57,6307301213449.51,4741861089312.81,5604761.56666667,0
"128","Nicaragua","Latin America and Caribbean",2438514914.73672,2342642899.90253,2550178419.03794,1619089198.48476,1551981172.61583,1697492987.88682,1333065397.51399,1276263900.42871,1399530604.88681,922552781.896866,880936461.724493,971397394.549127,0.00159931588751566,0.00153643760222577,0.00167255112401364,0.00144514739551378,0.00138524891129603,0.00151512811810697,0.00137052054929259,0.0013121230999768,0.00143885323026032,0.00122869413998049,0.0011732677950312,0.00129374742529177,300.925708300152,289.094591830127,314.705578548249,199.804217276135,191.52273000895,209.479661833249,164.507359185306,157.497752379296,172.709519231616,113.847919345846,108.71224412441,119.875604298766,0.0037039154402626,0.00021221021984777,6709705,5266.58162497457,71.795,1524723748305.07,1120362672701.04,972670857217.039,750840060091.369,8043951.3,0
"129","Niger","Sub-Saharan Africa",1091671586.84504,938264730.508839,1322171149.29362,702905160.718118,602784001.977038,853386231.127036,569422366.538827,487689095.429362,692286570.157795,380959747.121533,325329411.769711,464614074.149324,0.000423836395520689,0.000364276899953342,0.000513326774215659,0.00039780181644359,0.000341139294900928,0.000482965002737294,0.000384182205415401,0.00032903778152929,0.000467077159120602,0.000356233679762556,0.000304214013069312,0.00043445845014929,26.0100321912616,22.3549794082205,31.5018862539709,16.7473314117475,14.3618570683069,20.3326747811971,13.5669868691028,11.6196200618396,16.494334186549,9.07669981119739,7.75125832243127,11.069837459141,0.0012835076703389,7.83586318030306e-05,23881690,1237.52555434728,61.451,2575690993936.25,1766973230545.3,1482167467707.5,1069409684607.75,43210297.4,0
"130","Nigeria",NA,16156032266.4205,13446635615.3424,18865428917.4986,11253684849.9294,9352231558.5577,13155138141.3011,9486031577.39205,7875239903.46522,11096823251.3189,6867936863.16338,5687031360.87312,8048842365.45364,0.000398399872295438,0.000331587472939767,0.000465212271651109,0.000377859908252812,0.000314015667383633,0.000441704149121991,0.000366942090858697,0.000304632867033512,0.000429251314683881,0.000344249311282349,0.000285057458772261,0.000403441163792436,55.3356732812699,46.0557779826552,64.6155685798846,38.5447502082788,32.0321240661764,45.0573763503813,32.4903995886036,26.9733122046012,38.007486972606,23.5232205599327,19.4785269140425,27.5679142058229,0.0012115229198102,0.000125160184196977,205780595,4908.14014800569,52.887,40552302824133,29782690897177.7,25851576621241.2,19950473793483.9,291964140.1,1
