measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),37,Kyrgyzstan,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,556.078829848712,699.0590720914242,436.0232924635271
2,DALYs (Disability-Adjusted Life Years),8,Taiwan (Province of China),3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,988.6925855072644,1196.1798016362743,825.4371651726238
2,DALYs (Disability-Adjusted Life Years),109,Cuba,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,798.5834508136835,1029.0408329744632,609.8227785572627
2,DALYs (Disability-Adjusted Life Years),97,Argentina,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,800.1081453503332,979.535557530051,667.8678380358876
2,DALYs (Disability-Adjusted Life Years),210,Liberia,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1430.712041493546,1810.2022570604358,1121.8926331750274
2,DALYs (Disability-Adjusted Life Years),48,Hungary,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,741.1455290670706,933.084490648008,589.8609222709002
2,DALYs (Disability-Adjusted Life Years),187,Somalia,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1585.1586924425656,1915.2609079007025,1237.6775360688894
2,DALYs (Disability-Adjusted Life Years),149,Palestine,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1761.6969380406695,2099.504453556332,1485.071870975203
2,DALYs (Disability-Adjusted Life Years),145,Kuwait,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1693.8414405607612,2175.8289428440157,1303.12715042951
2,DALYs (Disability-Adjusted Life Years),214,Nigeria,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1094.4852334362745,1320.1125389868937,915.775809607583
2,DALYs (Disability-Adjusted Life Years),86,Italy,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,511.5534046818145,649.7100282375193,410.4129508767159
2,DALYs (Disability-Adjusted Life Years),157,Yemen,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,781.0615952242388,1022.8390771949466,607.5113851420991
2,DALYs (Disability-Adjusted Life Years),20,Viet Nam,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1112.4021855636515,1338.0439784627504,913.5375652546791
2,DALYs (Disability-Adjusted Life Years),125,Colombia,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,832.2690646239633,1050.089859678714,655.9399680796017
2,DALYs (Disability-Adjusted Life Years),216,Senegal,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1618.7514797223298,1961.1805975358734,1300.878297463777
2,DALYs (Disability-Adjusted Life Years),119,Trinidad and Tobago,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,3472.0722943400865,4141.386320041528,2935.9715953252853
2,DALYs (Disability-Adjusted Life Years),95,United Kingdom,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,533.3630993852263,713.842914916194,390.89785833856416
2,DALYs (Disability-Adjusted Life Years),121,Bolivia (Plurinational State of),3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1447.8861737466561,1777.1378889782045,1187.4476081548048
2,DALYs (Disability-Adjusted Life Years),133,Venezuela (Bolivarian Republic of),3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1556.4492281318312,1920.5512688670306,1292.4608352454125
2,DALYs (Disability-Adjusted Life Years),13,Malaysia,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1025.5739409760856,1273.2222373112993,824.5160626007192
2,DALYs (Disability-Adjusted Life Years),204,Chad,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1220.4861719463272,1509.9466747879708,982.8454720752077
2,DALYs (Disability-Adjusted Life Years),200,Benin,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1338.1990459777926,1613.7869126842918,1091.0825775032886
2,DALYs (Disability-Adjusted Life Years),38,Mongolia,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,579.357102702257,715.0514906398696,459.37351031213376
2,DALYs (Disability-Adjusted Life Years),163,India,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1095.3338379978416,1269.0938665414878,944.3649933559001
2,DALYs (Disability-Adjusted Life Years),14,Maldives,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,840.0908680768388,1058.7966062905095,677.7784654734899
2,DALYs (Disability-Adjusted Life Years),62,Russian Federation,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,674.0453414933361,808.4028485754151,566.668033176163
2,DALYs (Disability-Adjusted Life Years),376,Northern Mariana Islands,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,2132.2117507682815,2592.671978017844,1739.5039962980647
2,DALYs (Disability-Adjusted Life Years),25,Micronesia (Federated States of),3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,3949.945819794946,4834.930290102867,3176.8656164705576
2,DALYs (Disability-Adjusted Life Years),10,Cambodia,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1196.297310475202,1489.8498805000008,942.6786330641465
2,DALYs (Disability-Adjusted Life Years),46,Croatia,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,731.277189867645,919.9543096327686,582.184722547307
2,DALYs (Disability-Adjusted Life Years),61,Republic of Moldova,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,655.339353106407,824.3322183625154,521.9772779590929
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1555.960166257262,1966.8370323310828,1196.768550474842
2,DALYs (Disability-Adjusted Life Years),195,Namibia,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1908.0894968896034,2333.281963808514,1517.120756127676
2,DALYs (Disability-Adjusted Life Years),170,Congo,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1945.9078507715371,2372.4730375366476,1594.3174080811518
2,DALYs (Disability-Adjusted Life Years),50,Montenegro,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,917.3836118377549,1146.4660921843183,741.0833319423837
2,DALYs (Disability-Adjusted Life Years),34,Azerbaijan,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,869.7438822931124,1101.1095476295402,671.1091099743148
2,DALYs (Disability-Adjusted Life Years),218,Togo,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1084.9953144361623,1362.7732879002706,873.0663900373629
2,DALYs (Disability-Adjusted Life Years),98,Chile,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,710.0398298950518,913.9546819974559,546.3339365939424
2,DALYs (Disability-Adjusted Life Years),26,Papua New Guinea,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,3082.342335418987,3762.321534997593,2555.708901396852
2,DALYs (Disability-Adjusted Life Years),58,Estonia,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,626.7074940777658,781.0293558202212,511.73132855989996
2,DALYs (Disability-Adjusted Life Years),212,Mauritania,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1034.1285944164533,1293.3942396367554,813.7469431911777
2,DALYs (Disability-Adjusted Life Years),367,Monaco,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,368.51225673582786,492.5135064674917,272.2858829570298
2,DALYs (Disability-Adjusted Life Years),22,Fiji,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,7397.315094422707,9124.066786562298,6053.740963534759
2,DALYs (Disability-Adjusted Life Years),110,Dominica,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,2567.1349682457144,3091.0767535699733,2160.288730758657
2,DALYs (Disability-Adjusted Life Years),169,Central African Republic,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,2124.202661681195,2586.8956081048523,1694.250094648747
2,DALYs (Disability-Adjusted Life Years),182,Malawi,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1284.4076341145044,1516.1629051057892,1071.5647862066114
2,DALYs (Disability-Adjusted Life Years),181,Madagascar,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1042.118721289552,1293.391208882805,835.6545021283955
2,DALYs (Disability-Adjusted Life Years),393,Saint Kitts and Nevis,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,2005.0214121003041,2435.8398025141482,1668.626637276508
2,DALYs (Disability-Adjusted Life Years),206,Gambia,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1396.546213559297,1741.1080538018468,1125.4387210186733
2,DALYs (Disability-Adjusted Life Years),16,Philippines,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1320.4460567381252,1477.8598491433668,1190.4445705924568
2,DALYs (Disability-Adjusted Life Years),194,Lesotho,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,2686.736526736982,3344.448444719524,2105.2401096084827
2,DALYs (Disability-Adjusted Life Years),305,Bermuda,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,900.3636085943492,1147.706694852054,710.8495149625888
