"","location","region","gdp_sq","gdp_sq002","gdp_sq003","gdp_sq005","gdp_dif","gdp_dif_lower","gdp_dif_upper","gdp_dif002","gdp_dif002_lower","gdp_dif002_upper","gdp_dif003","gdp_dif003_lower","gdp_dif003_upper","gdp_dif005","gdp_dif005_lower","gdp_dif005_upper","gdp_dif_prop","gdp_dif_prop_lower","gdp_dif_prop_upper","gdp_dif_prop002","gdp_dif_prop002_lower","gdp_dif_prop002_upper","gdp_dif_prop003","gdp_dif_prop003_lower","gdp_dif_prop003_upper","gdp_dif_prop005","gdp_dif_prop005_lower","gdp_dif_prop005_upper","pop","gdp_dif_perc","gdp_dif_perc_lower","gdp_dif_perc_upper","gdp_dif_perc002","gdp_dif_perc002_lower","gdp_dif_perc002_upper","gdp_dif_perc003","gdp_dif_perc003_lower","gdp_dif_perc003_upper","gdp_dif_perc005","gdp_dif_perc005_lower","gdp_dif_perc005_upper"
"79","Mozambique","Sub-Saharan Africa",2473023529299.37,1745749444194.25,1485489237850.21,1102356381297.13,2449147086.92119,2258308383.2909,2710533048.70663,1566524767.30548,1438178336.96488,1742368806.32572,1264703352.18412,1158295447.25136,1410513155.42463,840215098.248031,765481005.197626,942657149.502391,0.000990345242535988,0.000913177071117758,0.00109604013734335,0.000897336540770608,0.000823817152998534,0.000998063503396909,0.00085137160200123,0.000779740046402246,0.000949527683866573,0.000762199151293849,0.000694404294459559,0.000855129217280148,46273717,52.9273904432875,48.8032630551572,58.5760821571051,33.8534457326063,31.0798100996486,37.6535303253404,27.3309220476955,25.0313897898317,30.481950594646,18.1575017681858,16.542457680623,20.3713297875421
"80","Namibia","Sub-Saharan Africa",822538037324.081,611636939676.063,534073733818.789,416799074825.378,421747381.408913,362611984.102013,507629384.840912,286815745.066025,245247091.161882,347228104.996234,239121526.209083,203862467.848762,290381681.005126,169810669.384636,143869843.572031,207548918.150492,0.000512739061625601,0.000440845246843148,0.000617150042680525,0.000468931365096963,0.000400968409939024,0.000567702966371086,0.000447731298259683,0.000381712214886667,0.000543710844809403,0.00040741613799354,0.000345177934073646,0.000497959162307274,3127696,134.842830444171,115.935814766529,162.301382500381,91.7019253361021,78.4114220697542,111.017216825495,76.4529309143481,65.1797578309279,92.8420412358253,54.2925749128547,45.9986659739409,66.3584050849226
"81","Nepal","South Asia",8221903996393.65,5663381854307.05,4761395081046.4,3452718750757.34,7105704461.45,6436395924.28107,8020652144.76714,4646111042.25782,4206754709.83501,5247186276.41839,3794790212.67668,3434887657.7262,4287371836.93338,2583118444.9888,2336184150.77561,2921380897.44119,0.000864240748197346,0.000782835207891536,0.000975522476093763,0.000820377499130562,0.000742799058593539,0.000926511122047661,0.000796991249010722,0.000721403622102143,0.000900444463010441,0.000748140416714279,0.000676621618909208,0.000846110299832674,34448817,206.268460871965,186.83938912274,232.828086513599,134.869973684664,122.116086303777,152.318330014595,110.157344813225,99.7098872140138,124.45628646503,74.9842424193783,67.8160922267842,84.8035187228981
"82","Netherlands","Europe and central Asia",41898525772971.8,30265455532271.6,26065730724084.8,19827523025109.8,48657021230.4998,47918800724.1603,49436294339.2598,32373841573.1589,31851431444.6019,32926063851.2905,26683596395.8168,26238793941.6727,27154129575.9206,18507920400.3254,18177915201.9067,18857558420.937,0.00116130628304559,0.00114368703528638,0.00117990534099294,0.0010696631193487,0.00105240218210624,0.00108790907892273,0.0010237041377536,0.00100663949226745,0.00104175593093311,0.000933445916410575,0.000916802122932148,0.000951079890163566,17994135,2704.04891541048,2663.02329754447,2747.35597678131,1799.13297155762,1770.10072696475,1829.82198651341,1482.90520193479,1458.18590010982,1509.05445446089,1028.55293685,1010.21333906335,1047.98360248698
"83","New Zealand","East Asia and Pacific",10325317809698.4,7367981346156.57,6307301213449.51,4741861089312.81,12606240035.72,12398875912.884,12812555026.7369,8315463979.22905,8175252051.87335,8455405286.80193,6822700743.75803,6706062792.09468,6939303644.34836,4687453442.5184,4604860899.92164,4770296062.29861,0.00122090576465154,0.00120082269053626,0.00124088723106443,0.00112859460258633,0.00110956470541798,0.00114758777059236,0.00108171474817304,0.00106322221900468,0.0011002017201194,0.000988526098557161,0.00097110835032685,0.00100599658498008,5647638,2232.12607389496,2195.40910959307,2268.65727348971,1472.3790687769,1447.55241959087,1497.15780062425,1208.06268811104,1187.41016901131,1228.70900088645,829.984755134518,815.360492283967,844.653297944842
"84","Nicaragua","Latin America and Caribbean",1524723748305.07,1120362672701.04,972670857217.039,750840060091.369,2438514914.73672,2342642899.90253,2550178419.03794,1619089198.48476,1551981172.61583,1697492987.88682,1333065397.51399,1276263900.42871,1399530604.88681,922552781.896866,880936461.724493,971397394.549127,0.00159931588751566,0.00153643760222577,0.00167255112401364,0.00144514739551378,0.00138524891129603,0.00151512811810697,0.00137052054929259,0.0013121230999768,0.00143885323026032,0.00122869413998049,0.0011732677950312,0.00129374742529177,8103378.5,300.925708300152,289.094591830127,314.705578548249,199.804217276135,191.52273000895,209.479661833249,164.507359185306,157.497752379296,172.709519231616,113.847919345846,108.71224412441,119.875604298766
"85","Niger","Sub-Saharan Africa",2575690993936.25,1766973230545.3,1482167467707.5,1069409684607.75,1091671586.84504,938264730.508839,1322171149.29362,702905160.718118,602784001.977038,853386231.127036,569422366.538827,487689095.429362,692286570.157795,380959747.121533,325329411.769711,464614074.149324,0.000423836395520689,0.000364276899953342,0.000513326774215659,0.00039780181644359,0.000341139294900928,0.000482965002737294,0.000384182205415401,0.00032903778152929,0.000467077159120602,0.000356233679762556,0.000304214013069312,0.00043445845014929,41971174,26.0100321912616,22.3549794082205,31.5018862539709,16.7473314117475,14.3618570683069,20.3326747811971,13.5669868691028,11.6196200618396,16.494334186549,9.07669981119739,7.75125832243127,11.069837459141
"86","Norway","Europe and central Asia",13518338344919.9,9882074676332.64,8560158935467.8,6583317251778.09,21847584234.78,21775378330.2164,21912625237.0081,14575253459.2099,14522723480.4576,14622670439.0815,12030269366.8154,11984922427.3947,12071249457.3592,8368370028.18402,8333805585.0361,8399682721.0635,0.00161614420924671,0.0016108028793642,0.00162095552559111,0.00147491836852006,0.00146960268527814,0.00147971665040161,0.00140537920586611,0.00140008176457295,0.00141016651073425,0.00127114791952701,0.00126589761154002,0.0012759042895578,5927178.5,3686.00072273511,3673.81855130842,3696.97407240361,2459.0542463349,2450.1916857165,2467.05417072921,2029.6789386072,2022.0282597183,2036.59286747635,1411.86401391219,1406.03249674969,1417.14691417907
"87","Pakistan","South Asia",73027502729931,50941330989248.4,43107050309470.1,31670845351206.3,36291352772.782,30224512473.7405,44236617671.6804,23989242803.8514,19941755078.7168,29293004945.0408,19709932460.7368,16366725981.1501,24092288583.8565,13588294110.334,11255614455.1898,16648358181.838,0.000496954591299582,0.000413878488841612,0.000605752846777131,0.000470919042317809,0.000391465136294253,0.00057503414960287,0.000457232223481707,0.000379676314283896,0.000558894389917552,0.000429047408101989,0.000355393559293203,0.000525668260421217,298432780,121.606456143263,101.277455089687,148.229754357683,80.3840744433349,66.8215974086922,98.1561239520699,66.0447972931687,54.842252855568,80.7293641933587,45.5321768283431,37.7157444138335,55.7859568303388
"88","Panama","Latin America and Caribbean",8374312049819.53,5870197639086.29,4979306985879.31,3675001256520.63,17956977872.025,17620042628.5959,18322867591.1531,11713716995.8438,11490667369.7105,11955960061.7962,9553605865.1985,9370165674.55258,9752847339.04453,6480836379.64084,6354055452.64107,6618569396.46071,0.00214429290014479,0.00210405852131766,0.002187984813815,0.00199545530083159,0.00195745834743292,0.00203672189539042,0.00191866175198503,0.00188182124563221,0.00195867564837886,0.00176349228946297,0.00172899408982975,0.0018009706485725,5120748,3506.70993222572,3440.91188017764,3578.1623292443,2287.50116112798,2243.9431445778,2334.80734880846,1865.66608339221,1829.84315466267,1904.57474943983,1265.60345864332,1240.84517586905,1292.500509
